# pos	patient1-5371622	patient2-5371623	patient3-5371624	patient4-5371625	patient5-5371626	patient6-5371627	patient7-5371628	patient8-5371629	patient9-5371630	patient10-5371631	patient11-5371632	patient12-5371633	patient13-5371634	patient14-5371635	patient15-5371636	patient16-5371637	patient17-5371638	patient18-5371639	patient19-5371640	patient20-5371641	patient21-5371642	patient22-5371643	patient23-5371644	patient24-5371645
43	1751	653	345	194	523	113	65	34	2969	695	693	314	493	389	130	128	1159	360	208	89	940	707	163	171
44	1782	664	348	209	523	113	65	34	2986	700	696	319	493	389	130	128	1161	361	208	94	940	708	163	171
45	1809	665	353	209	524	113	65	34	2993	703	699	323	493	390	130	128	1161	361	208	94	940	708	163	171
46	1819	691	361	218	524	114	65	34	3012	708	704	327	493	390	130	128	1189	389	211	94	940	717	163	172
47	1911	719	378	220	527	119	65	36	3110	712	737	341	493	390	130	128	1190	389	211	94	940	728	163	175
48	1942	727	384	220	528	119	65	36	3172	737	746	343	493	390	130	128	1192	393	211	94	940	728	163	175
49	2008	734	396	221	561	119	65	36	3188	756	749	347	493	390	130	128	1218	393	215	94	941	728	163	175
50	2223	794	423	229	569	119	68	36	3270	758	768	351	493	390	130	128	1223	395	219	94	999	749	167	178
51	2384	807	446	234	570	120	68	36	3353	766	782	352	493	390	130	128	1254	403	225	96	999	777	167	188
52	2386	808	450	234	570	120	68	36	3369	769	783	354	493	390	130	128	1255	404	225	96	1001	778	167	188
53	2427	812	463	234	574	120	70	36	3395	769	787	354	493	390	130	128	1260	404	227	97	1005	779	167	188
54	2508	841	480	243	574	120	70	36	3398	770	789	357	493	390	130	128	1268	404	227	100	1005	780	167	188
55	2527	842	487	244	574	120	70	36	3406	772	793	357	493	390	130	128	1268	410	227	102	1006	780	167	188
56	2565	862	495	253	574	121	70	36	3437	794	800	362	493	390	130	128	1268	435	227	103	1008	780	167	188
57	2590	896	507	258	574	121	70	36	3503	824	811	369	493	390	130	128	1269	435	228	106	1008	781	167	188
58	2612	899	510	262	575	121	70	36	3503	825	817	374	494	390	130	128	1269	435	228	106	1008	781	167	188
59	2658	922	520	268	575	121	70	36	3551	829	826	375	494	390	130	128	1269	480	228	108	1008	781	167	188
60	2678	930	523	283	575	121	70	36	3553	829	827	376	494	390	130	128	1272	484	228	111	1009	781	167	196
61	2964	1003	590	290	575	121	70	36	3663	845	841	381	494	390	130	128	1287	503	228	111	1106	812	181	197
62	3014	1006	603	290	575	125	70	38	3692	856	845	385	494	390	130	128	1288	504	228	112	1106	812	181	197
63	3025	1007	604	294	575	125	70	38	3693	857	845	386	494	390	130	128	1289	505	229	118	1106	812	181	197
64	3091	1021	615	301	589	125	70	38	3741	871	854	386	494	390	130	128	1301	530	229	122	1106	812	181	197
65	3102	1027	616	301	589	126	77	49	3742	875	854	387	494	390	130	128	1301	532	229	122	1106	812	182	197
66	3152	1063	622	308	589	126	78	49	3753	886	858	393	494	390	130	128	1305	547	230	126	1116	812	185	200
67	3275	1093	645	318	589	126	78	49	3806	900	871	399	494	390	130	128	1322	559	236	134	1148	830	188	207
68	3638	1224	714	347	590	127	78	49	3880	920	885	407	494	390	130	128	1415	570	259	145	1230	850	203	210
69	3724	1280	726	353	669	127	87	49	3902	923	887	408	495	390	130	128	1415	572	259	145	1233	850	203	210
70	3833	1324	752	364	674	128	90	49	4000	941	910	410	495	390	130	128	1415	585	262	149	1236	850	205	210
71	4018	1390	775	380	674	128	90	49	4032	978	916	416	495	390	130	128	1445	594	265	150	1236	850	205	210
72	4069	1428	787	385	676	128	90	49	4040	995	921	426	495	390	130	128	1448	595	265	150	1237	850	205	210
73	4088	1430	790	385	677	128	90	49	4041	1003	922	430	495	390	130	128	1481	604	269	151	1288	904	211	219
74	4116	1457	796	388	680	128	91	49	4055	1012	924	431	495	390	130	128	1489	611	274	151	1293	909	212	219
75	4174	1485	810	394	681	134	91	49	4089	1017	929	433	495	390	130	128	1498	618	278	153	1294	928	212	223
76	4192	1501	813	398	681	134	91	49	4123	1067	938	448	495	390	130	128	1529	627	282	154	1295	934	213	224
77	4215	1516	821	417	681	134	91	49	4147	1080	947	466	495	390	130	128	1532	632	284	159	1297	934	213	228
78	4267	1557	833	428	683	134	91	49	4213	1101	965	475	495	390	130	128	1536	632	284	167	1333	975	217	228
79	4311	1564	837	435	683	134	91	49	4284	1103	974	478	495	390	130	128	1568	633	289	168	1333	975	218	228
80	4373	1761	842	442	693	134	91	49	4308	1185	975	479	495	390	130	128	1580	709	293	176	1346	988	218	231
81	4398	1795	846	447	693	134	91	49	4347	1204	985	485	495	390	130	128	1585	711	293	177	1350	999	218	232
82	4413	1814	846	451	696	134	91	49	4356	1263	985	496	495	390	130	128	1595	715	294	177	1350	1011	218	235
83	4490	1827	852	455	699	134	91	49	4363	1268	986	498	495	390	130	128	1596	741	294	183	1354	1012	219	235
84	4513	1867	857	463	699	134	91	49	4368	1273	987	499	495	390	130	128	1607	757	294	185	1384	1036	224	237
85	4519	1884	858	468	699	134	91	49	4373	1274	987	505	495	390	130	128	1610	761	296	188	1384	1040	225	240
86	4629	1959	875	471	702	134	91	49	4456	1308	1007	507	495	390	130	129	1641	832	300	193	1406	1041	227	240
87	4707	2338	886	563	709	249	91	67	4491	1566	1012	553	555	573	132	154	1681	991	305	220	1450	1112	228	253
88	4791	2485	900	581	711	249	92	67	4571	1577	1025	554	558	574	133	154	1724	1001	308	228	1454	1112	228	255
89	4993	2661	934	602	711	249	94	76	4671	1659	1046	574	560	574	133	154	1767	1052	314	235	1456	1120	229	256
90	5002	2674	938	614	711	249	94	76	4673	1665	1049	590	561	575	133	154	1770	1057	315	238	1456	1122	230	256
91	5039	2738	941	617	711	249	95	76	4740	1756	1063	603	567	575	133	154	1773	1084	315	240	1473	1122	232	256
92	5056	2819	944	631	711	249	95	76	4761	1807	1069	604	567	575	134	154	1775	1106	316	240	1473	1131	234	256
93	5128	2881	950	640	711	253	97	78	4806	1834	1080	609	568	579	134	154	1790	1121	317	243	1486	1131	235	256
94	5155	2894	953	653	711	254	97	86	4811	1835	1080	628	569	579	134	154	1790	1121	317	246	1488	1131	235	264
95	5204	3017	959	665	760	307	102	86	4832	1964	1090	640	570	579	137	154	1808	1233	317	251	1496	1159	236	264
96	5218	3040	962	687	762	307	103	86	4876	2010	1094	652	573	581	152	154	1808	1246	317	259	1505	1159	236	269
97	5247	3271	964	713	762	307	103	86	4922	2203	1097	676	671	689	154	174	1820	1279	317	267	1509	1236	238	278
98	5251	3319	964	717	762	307	103	86	4924	2273	1097	696	672	690	154	174	1857	1290	322	271	1525	1255	239	280
99	5304	3462	972	734	763	307	105	86	4953	2380	1101	710	674	693	155	174	1875	1314	328	273	1576	1298	240	285
100	5310	3465	975	739	763	307	105	86	4964	2383	1104	711	674	693	155	174	1875	1315	328	274	1579	1303	241	299
101	5343	3627	980	756	763	308	105	86	4985	2505	1108	740	678	797	156	193	1894	1343	333	276	1583	1333	252	306
102	5357	3643	982	766	763	308	105	86	4986	2506	1108	740	678	813	157	197	1896	1348	333	277	1588	1337	256	307
103	5417	3725	992	784	763	308	105	86	4986	2506	1108	740	684	816	158	198	1903	1384	334	281	1634	1342	262	313
104	5557	3907	1023	822	763	309	105	86	4986	2506	1108	740	684	816	159	198	1943	1390	336	282	1769	1377	273	317
105	5592	3939	1037	848	764	309	106	86	4986	2506	1108	741	684	816	159	199	1991	1436	340	294	1799	1400	279	330
106	5882	4298	1079	878	769	325	107	89	5044	2856	1121	787	686	816	159	200	2061	1494	355	296	1875	1529	292	343
107	5975	4501	1086	930	769	345	107	92	5362	3460	1180	884	686	821	160	201	2072	1571	360	315	1938	1548	300	347
108	6007	4534	1094	937	770	348	107	92	5392	3573	1182	908	686	825	161	201	2093	1575	362	316	1988	1575	310	358
109	6055	4694	1103	969	772	394	107	97	5432	3850	1191	947	686	830	161	202	2097	1636	363	326	1993	1651	311	368
110	6100	4737	1115	980	775	401	108	101	5466	3962	1192	967	853	831	193	203	2104	1654	364	328	2010	1679	311	372
111	6215	4804	1143	1002	775	402	108	101	5552	4049	1210	990	855	831	194	203	2110	1662	364	329	2015	1685	318	381
112	6252	4813	1147	1006	775	403	108	102	5572	4072	1224	1005	855	831	194	203	2113	1662	364	330	2019	1688	322	386
113	6324	5009	1163	1048	777	404	108	105	5615	4326	1239	1052	857	852	194	207	2129	1706	366	333	2035	1698	329	390
114	6453	5233	1192	1097	812	477	112	115	5723	4525	1255	1079	871	854	194	207	2156	1751	370	346	2058	1794	330	398
115	6518	5538	1207	1141	821	513	112	118	5775	4668	1267	1103	874	921	194	223	2166	1797	372	356	2060	1845	331	405
116	6659	5778	1225	1181	835	570	112	124	5807	4801	1271	1132	875	951	194	223	2176	1940	376	383	2142	1975	336	425
117	6674	5813	1225	1184	835	570	112	124	5846	4812	1277	1134	878	953	194	223	2177	1940	377	383	2147	1978	336	426
118	6689	5819	1227	1188	836	571	113	126	5940	4905	1290	1145	883	954	194	224	2179	1940	377	385	2154	1978	336	428
119	6716	6010	1234	1214	876	614	115	128	5996	5054	1296	1174	910	957	195	225	2268	2008	392	396	2166	2000	336	439
120	6791	6460	1239	1270	886	833	116	151	6039	5212	1304	1197	1008	1115	215	242	2296	2109	392	407	2234	2312	337	477
121	6815	6546	1241	1285	886	838	116	151	6140	5516	1324	1243	1011	1119	216	244	2326	2173	394	417	2247	2332	338	491
122	6896	6958	1252	1347	888	864	116	154	6210	5714	1331	1270	1040	1217	218	258	2346	2315	395	438	2366	2478	350	524
123	6915	6983	1253	1359	889	870	116	155	6291	5807	1356	1301	1044	1219	218	267	2361	2379	400	452	2466	2589	365	537
124	6931	7012	1263	1381	891	877	116	157	6368	5902	1363	1320	1051	1224	218	269	2367	2383	402	455	2480	2601	366	543
125	6959	7046	1270	1414	892	882	117	158	6407	5954	1374	1344	1054	1227	218	270	2415	2434	409	474	2491	2611	368	547
126	7010	7108	1284	1433	893	892	117	159	6409	5963	1375	1351	1056	1239	218	270	2419	2444	411	475	2514	2640	370	549
127	7147	7376	1305	1496	897	910	117	165	6481	6421	1395	1423	1127	1268	232	283	2462	2567	414	501	2578	2708	377	567
128	7168	7412	1318	1514	897	916	117	166	6547	6579	1416	1464	1131	1271	232	286	2471	2582	415	507	2603	2731	385	580
129	7216	7480	1335	1530	897	919	117	167	6639	6669	1426	1478	1330	1479	269	320	2488	2603	426	523	2610	2742	387	582
130	7401	7674	1364	1558	904	928	119	170	6737	6777	1435	1488	1333	1482	270	322	2536	2661	435	535	2753	2875	407	608
131	7449	7741	1369	1567	906	928	119	170	6800	6849	1443	1502	1337	1482	270	322	2543	2668	435	538	2847	2975	422	629
132	7486	7845	1378	1593	907	957	119	173	6970	7093	1470	1539	1380	1535	278	333	2544	2670	436	538	2850	2975	424	629
133	7529	7898	1388	1603	908	957	119	173	7074	7209	1497	1567	1381	1535	278	333	2546	2670	436	538	2856	2980	426	629
134	7595	7972	1404	1614	911	957	119	173	7108	7245	1505	1576	1389	1537	280	333	2565	2689	438	541	2859	2982	426	629
135	7635	8013	1420	1626	911	957	120	174	7173	7311	1520	1592	1397	1537	280	334	2570	2692	439	541	2925	3057	437	644
136	7671	8057	1436	1641	911	961	120	174	7287	7442	1541	1612	1413	1546	281	334	2576	2697	441	542	2967	3118	451	650
137	7694	8094	1438	1648	927	979	121	181	7306	7473	1539	1614	1416	1550	282	336	2577	2700	442	543	2971	3123	453	654
138	7742	8173	1455	1665	927	981	122	181	7362	7550	1549	1633	1418	1556	282	338	2578	2704	444	544	2974	3127	453	656
139	7752	8224	1466	1678	929	982	122	181	7448	7629	1579	1660	1422	1563	282	338	2657	2800	458	564	2980	3128	455	656
140	7756	8232	1467	1687	930	982	123	181	7496	7678	1587	1674	1602	1567	314	338	2671	2803	461	565	2981	3130	460	666
141	7807	8285	1479	1687	930	982	123	181	7543	7730	1594	1675	1608	1568	318	338	2676	2809	463	566	2984	3130	466	666
142	7818	8289	1480	1684	930	982	123	181	7586	7769	1600	1681	1611	1571	318	338	2685	2832	464	574	3002	3151	468	670
143	7846	8315	1485	1691	930	982	123	181	7588	7770	1600	1681	1613	1571	318	338	2705	2852	473	591	3004	3161	468	687
144	7869	8334	1488	1688	930	983	123	181	7589	7772	1600	1680	1619	1572	319	338	2722	2868	479	590	3020	3163	486	687
145	7884	8352	1490	1690	930	983	124	181	7613	7795	1615	1697	1624	1572	320	338	2722	2869	480	590	3021	3166	489	687
146	7888	8359	1493	1714	930	983	126	184	7642	7830	1619	1718	1632	1572	322	337	2723	2869	480	597	3036	3183	501	691
147	7914	8384	1502	1712	931	986	126	186	7651	7842	1623	1717	1633	1572	323	337	2725	2872	480	598	3042	3184	508	693
148	8000	8486	1535	1743	931	988	129	189	7682	7881	1629	1721	1635	1573	326	338	2780	2894	492	603	3067	3209	518	697
149	8114	8603	1548	1742	975	1040	131	189	7721	7902	1647	1723	1638	1573	330	339	2793	2903	502	603	3087	3226	524	703
150	8178	8669	1562	1757	976	1040	131	189	7799	7984	1675	1747	1639	1575	330	339	2803	2912	508	610	3088	3228	525	702
151	8246	8739	1585	1786	1031	1100	142	200	7914	8124	1705	1780	1640	1575	330	339	2833	2943	514	619	3116	3258	532	710
152	8279	8777	1591	1793	1032	1100	142	200	7964	8177	1717	1794	1640	1575	330	339	2882	2992	521	629	3116	3259	533	710
153	8290	8788	1598	1797	1034	1100	142	201	7975	8183	1724	1795	1643	1575	331	339	2882	2992	521	628	3137	3282	537	713
154	8310	8811	1607	1800	1037	1101	143	201	8029	8237	1731	1807	1644	1576	332	339	2886	2994	522	628	3138	3285	543	717
155	8339	8845	1613	1806	1038	1103	143	201	8086	8304	1753	1831	1644	1576	333	339	2910	3003	537	640	3218	3376	560	736
156	8367	8872	1622	1815	1038	1104	145	201	8091	8310	1758	1833	1646	1576	334	339	2915	3008	545	646	3221	3381	565	741
157	8390	8894	1635	1836	1102	1170	156	219	8120	8350	1768	1847	1822	1764	385	394	2992	3091	549	651	3249	3382	570	741
158	8411	8918	1649	1850	1102	1170	157	219	8219	8463	1785	1863	1946	1901	412	420	2997	3099	550	652	3251	3382	572	739
159	8478	8987	1658	1863	1102	1171	163	219	8238	8487	1788	1877	1948	1901	412	421	3001	3100	563	663	3252	3383	574	760
160	8522	9030	1669	1866	1110	1178	163	222	8273	8523	1798	1876	1963	1902	412	421	3004	3100	565	662	3318	3445	592	760
161	8525	9032	1671	1867	1111	1179	163	222	8284	8530	1818	1898	1964	1903	412	421	3006	3101	570	667	3403	3530	611	782
162	8538	9042	1675	1869	1112	1179	165	222	8292	8534	1841	1924	1971	1903	413	421	3033	3125	580	674	3409	3531	613	782
163	8547	9055	1685	1894	1112	1184	165	242	8361	8606	1856	1963	1977	1906	413	421	3067	3156	591	687	3463	3588	627	794
164	8580	9085	1699	1896	1151	1218	183	242	8381	8623	1880	1963	1977	1907	413	416	3067	3157	591	688	3467	3588	630	794
165	8607	9117	1706	1903	1151	1218	183	242	8429	8664	1897	1981	1985	1912	473	484	3072	3162	594	691	3468	3588	642	808
166	8610	9121	1719	1914	1151	1218	183	242	8462	8706	1922	2007	1985	1913	473	484	3073	3164	602	700	3469	3588	653	818
167	8657	9180	1767	1966	1206	1280	195	254	8525	8770	1952	2038	2080	2030	491	502	3111	3208	614	714	3583	3695	679	843
168	8677	9206	1791	1993	1207	1280	195	253	8619	8838	2002	2082	2080	2031	491	502	3147	3255	630	731	3605	3706	686	850
169	8707	9240	1808	2013	1211	1280	206	253	8665	8873	2022	2100	2080	2031	491	502	3152	3260	630	732	3659	3759	718	889
170	8732	9263	1836	2044	1211	1280	206	253	8705	8918	2040	2122	2080	2031	491	502	3172	3282	633	736	3659	3760	718	890
171	8751	9280	1843	2048	1211	1280	206	246	8709	8918	2048	2130	2080	2033	491	502	3174	3288	635	737	3662	3760	738	913
172	8750	9284	1845	2052	1213	1280	201	246	8726	8926	2073	2157	2080	2033	498	509	3174	3290	639	747	3662	3760	739	913
173	8750	9284	1846	2051	1213	1280	197	242	8729	8926	2073	2158	2080	2033	498	509	3174	3290	635	747	3662	3760	741	913
174	8751	9285	1851	2057	1213	1280	197	241	8734	8937	2076	2156	2080	2033	498	509	3176	3290	636	759	3662	3762	741	923
175	8750	9284	1854	2062	1248	1320	206	241	8753	8953	2137	2158	2080	2033	498	509	3218	3326	648	760	3708	3823	751	921
176	8750	9285	1865	2076	1249	1320	205	241	8765	8984	2138	2160	2080	2033	498	509	3218	3327	653	765	3709	3824	759	929
177	8762	9300	1880	2092	1251	1322	205	241	8809	9028	2168	2164	2080	2033	498	509	3230	3327	655	769	3711	3826	768	940
178	8763	9300	1887	2099	1251	1322	204	241	8809	9027	2142	2141	2080	2033	540	558	3231	3327	658	774	3711	3827	770	942
179	8764	9306	1904	2120	1251	1322	204	241	8840	9073	2183	2143	2080	2041	572	593	3231	3338	682	797	3788	3871	780	950
180	8764	9305	1901	2117	1251	1322	204	240	8846	9074	2185	2144	2080	2041	572	593	3235	3339	688	803	3792	3877	805	977
181	8765	9308	1903	2121	1251	1322	204	240	8846	9074	2196	2144	2080	2041	574	593	3239	3338	692	808	3795	3878	812	982
182	8803	9353	1922	2138	1251	1322	204	240	8848	9074	2209	2143	2094	2042	582	603	3240	3350	707	825	3795	3885	832	1004
183	8816	9368	1965	2184	1252	1325	207	252	8876	9127	2290	2387	2128	2046	627	654	3240	3354	739	861	3796	3899	845	1021
184	8816	9371	1983	2205	1252	1325	207	252	8880	9147	2315	2414	2128	2046	629	654	3240	3354	744	866	3805	3902	861	1038
185	8816	9374	1994	2221	1252	1325	207	252	8882	9158	2346	2446	2369	2310	676	703	3242	3355	760	884	3806	3906	890	1072
186	8816	9375	1996	2228	1253	1327	214	273	8890	9176	2394	2497	2372	2311	676	703	3241	3355	762	886	3806	3931	894	1077
187	8818	9386	2023	2256	1253	1327	214	273	8895	9192	2416	2524	2373	2311	676	703	3243	3356	793	920	3806	3932	896	1079
188	8819	9390	2050	2286	1253	1327	217	277	8900	9207	2434	2541	2373	2312	678	703	3251	3361	801	924	3807	3936	911	1102
189	8818	9391	2059	2297	1253	1327	218	277	8915	9213	2467	2573	2374	2314	719	754	3254	3364	808	933	3857	3944	935	1116
190	8819	9393	2071	2314	1253	1327	218	277	8934	9237	2484	2608	2375	2312	694	728	3270	3379	814	938	3860	3950	963	1141
191	8822	9393	2076	2314	1253	1327	218	277	8936	9244	2498	2608	2380	2302	668	701	3270	3379	819	939	3862	3950	965	1153
192	8822	9395	2096	2340	1253	1327	218	277	8943	9257	2542	2689	2381	2317	710	747	3271	3379	825	941	3864	3961	966	1164
193	8822	9396	2120	2366	1253	1327	218	277	8946	9264	2556	2703	2381	2318	710	747	3271	3379	833	950	3888	3962	992	1188
194	8820	9396	2123	2366	1253	1327	218	277	8958	9271	2580	2722	2381	2318	711	747	3272	3379	834	957	3890	3962	998	1188
195	8820	9396	2132	2391	1253	1327	218	277	8962	9275	2603	2810	2381	2323	711	800	3272	3381	837	964	3892	3963	1008	1208
196	8821	9403	2140	2395	1253	1327	218	276	9007	9284	2647	2813	2381	2323	760	800	3272	3381	844	964	3898	3965	1024	1222
197	8822	9403	2151	2408	1253	1327	216	272	9008	9293	2648	2815	2381	2323	761	800	3272	3381	844	964	3898	3965	1024	1220
198	8822	9404	2160	2411	1253	1327	216	272	9019	9306	2697	2834	2381	2323	761	800	3272	3384	846	985	3899	3965	1024	1220
199	8821	9403	2160	2412	1253	1327	216	272	9037	9324	2717	2837	2381	2323	761	800	3280	3409	853	985	3900	3965	1024	1220
200	8820	9404	2161	2413	1253	1327	216	272	9037	9357	2720	2836	2381	2323	761	800	3281	3409	863	997	3900	3965	1021	1217
201	8820	9404	2169	2415	1253	1328	216	272	9037	9357	2728	2844	2381	2323	762	800	3273	3409	867	1001	3901	3972	1032	1232
202	8822	9409	2174	2436	1253	1328	217	272	9039	9374	2749	2908	2381	2323	762	800	3273	3412	870	1009	3902	3981	1032	1241
203	8821	9408	2188	2433	1253	1328	217	273	9042	9375	2790	2904	2381	2323	763	800	3275	3413	874	1013	3902	3981	1040	1241
204	8821	9409	2203	2463	1253	1328	217	273	9047	9375	2807	2931	2381	2323	765	802	3310	3446	885	1028	3906	3982	1057	1261
205	8821	9409	2210	2471	1253	1328	217	273	9070	9380	2825	2951	2381	2323	765	802	3310	3446	895	1037	3906	3982	1057	1258
206	8824	9413	2229	2491	1253	1328	231	293	9089	9402	2840	2968	2382	2327	831	873	3313	3449	905	1049	3906	3983	1062	1263
207	8823	9415	2257	2526	1253	1328	232	293	9098	9417	2855	2988	2382	2334	871	926	3313	3451	918	1064	3910	4002	1073	1281
208	8823	9414	2258	2531	1253	1328	232	293	9098	9418	2867	2995	2382	2334	871	926	3313	3451	917	1063	3911	4003	1078	1286
209	8825	9417	2262	2536	1253	1328	232	293	9102	9434	2920	3063	2382	2334	871	926	3337	3477	933	1088	3911	4003	1084	1300
210	8825	9420	2274	2558	1253	1328	232	301	9116	9445	2936	3100	2382	2334	901	956	3342	3484	939	1115	3912	4003	1097	1331
211	8824	9421	2285	2575	1253	1332	232	302	9117	9445	2936	3100	2382	2335	902	956	3342	3484	944	1120	3912	4003	1102	1342
212	8823	9419	2288	2577	1253	1356	232	303	9129	9459	2955	3100	2382	2335	902	956	3343	3484	951	1110	3912	4049	1109	1346
213	8820	9423	2304	2595	1254	1356	234	305	9131	9463	2983	3138	2382	2335	902	956	3343	3485	955	1113	3933	4071	1119	1365
214	8820	9427	2307	2604	1254	1353	242	305	9132	9463	2983	3135	2382	2335	902	956	3345	3486	958	1118	3936	4075	1132	1377
215	8821	9435	2313	2624	1254	1353	242	306	9133	9463	2987	3135	2382	2336	903	993	3357	3488	958	1118	3936	4077	1133	1383
216	8821	9435	2323	2625	1254	1355	240	304	9138	9463	2994	3138	2382	2336	923	994	3361	3492	955	1117	3941	4077	1138	1383
217	8821	9435	2327	2628	1254	1355	240	304	9141	9475	3010	3140	2383	2337	923	994	3361	3492	956	1117	3941	4085	1143	1390
218	8822	9441	2336	2651	1288	1366	243	305	9141	9484	3020	3175	2383	2337	923	994	3367	3499	960	1132	3944	4090	1149	1412
219	8821	9437	2337	2657	1288	1366	240	305	9144	9502	3025	3180	2383	2337	922	994	3367	3499	960	1133	3944	4090	1152	1416
220	8835	9435	2339	2657	1289	1368	240	306	9207	9531	3070	3266	2383	2337	922	994	3385	3502	965	1135	3960	4125	1158	1420
221	8832	9432	2337	2658	1289	1368	245	298	9204	9529	3074	3264	2383	2337	930	1003	3386	3504	967	1140	3960	4125	1156	1428
222	8831	9432	2338	2661	1290	1368	245	298	9204	9531	3083	3283	2383	2337	929	1003	3385	3504	962	1144	3960	4128	1162	1444
223	8833	9433	2341	2667	1294	1368	245	298	9203	9523	3090	3296	2382	2337	929	1003	3385	3504	963	1145	3960	4133	1161	1445
224	8827	9442	2373	2707	1355	1369	265	330	9256	9558	3102	3316	2381	2337	928	1004	3412	3522	970	1159	4024	4206	1179	1481
